1,1,旁白,生活区,学校的生活区，四栋宿舍楼，一些小超市，足以学生们安心居住。		
2,1,旁白,生活区,人来人往，大家都在搬行李，还是不要去添乱了。		
3,,旁白,小超市,学校里的小超市，麻雀虽小五脏俱全……起码生活用品是全的？		
4,,旁白,图书馆广场,图书馆，学习的好去处。广场中间好像正在建造雕像？		
5,,旁白,图书馆,好安静，学哥学姐们都在学习，还是先离开吧。		
6,,旁白,教学区,NQU的教学区，接下来就要在这里上课了。		
7,,旁白,复合楼,复合楼，听说全校的通识课都安排在这里。		
8,,旁白,计算机学院,计算机学院，以后会经常来这里。		
9,,旁白,艺术学院,艺术学院，说不定以后有选修课会到这里上？		
10,,旁白,食堂,食堂，人总要吃饭的。		
11,,旁白,休闲区,广场、草坪、后山、情人谷，在这里放松吧，生活总需要慢一些。		
12,,旁白,医学院,医学院，说不定以后有选修课会到这里上？		
13,,旁白,校医院,校医院，万一生病了就来这里吧。		
14,,旁白,情人谷,情人谷，为什么学长们称呼它为心碎谷呢？		
15,,旁白,后山,后山，今天很累了，以后再来看看吧。		
16,,旁白,体育区,体育馆和操场，锻炼总是不能缺席。		
17,,旁白,体育馆,体育馆，好像还没有开放？		
18,,旁白,操场,操场，好多建材，这是在做什么呢？		
18,,宁芷,操场,同学？,,宁芷2
18,,主角,操场,宁芷学姐！	
18,,主角,操场,又见面了！	
18,,宁芷,操场,是你啊，操场正在布置开学典礼，现在禁止入内哦。		
18,,宁芷,操场,不如去别的地方逛逛？	

