来到安澜的病房,,,,,,,,
前提：Semester_sx_09_3
82,1,宁芷（交互符号,校医院病房103,（=pn）学妹，你来了。,,,,
82,2,（=pn）,校医院病房103,,学姐，你看起来很虚弱……,PC7,,
82,3,宁芷,校医院病房103,安澜同学的情况不太好，需要有人24小时监护。,,,,
82,4,宁芷,校医院病房103,也许是因为感知到学妹你要来，今天的各项数值都非常稳定。,,,,
82,5,旁白,校医院病房103,宁芷满是疲惫的脸上挤出一点笑容。,,,,
82,6,（=pn）,校医院病房103,,辛苦了。,PC7,,
82,7,宁芷,校医院病房103,你的脸色看起来不太好。,,宁芷3,,,,,,,,,,,效果见修改23行
82,8,宁芷,校医院病房103,是哪里还不舒服吗？,,宁芷1,,
82,9,（=pn）,校医院病房103,,我没事。,PC10,,
82,10,宁芷,校医院病房103,……好。,,宁芷1,,
82,11,宁芷,校医院病房103,(=pn)学妹，关于安澜的事，我想和你聊一下。,,宁芷1,,
进入宁芷的回忆（校医院），加一层灰色蒙版,,,,,,,,
83,1,安澜,校医院内部,学姐，关于加入协会的事情，我认为还是线下当面说比较好……,,,,
83,2,宁芷,校医院内部,那么，你的答复是什么呢？,,,,
83,3,安澜,校医院内部,我想……问问(=pn)同学为什么会加入指令协会。,,,,
83,4,宁芷,校医院内部,她很特殊。,,,,
83,5,宁芷,校医院内部,当然，并不仅仅是说她的指令。,,,,
83,6,宁芷,校医院内部,在我邀请她加入协会的时候，她的答复也很有趣。,,,,
83,7,宁芷,校医院内部,让我想起了一位朋友……,,,,
83,8,宁芷,校医院内部,也正是因为如此，我知道在看似果断或幽默似的回答下。,,,,
83,9,宁芷,校医院内部,她已经做好了独自承受一切的准备。,,,,
83,10,宁芷,校医院内部,即使前面是万劫不复的未知深渊。,,,,
83,11,宁芷,校医院内部,如果你想知道，不如亲自问问她。,,,,
83,12,安澜,校医院内部,……,,,,
83,13,安澜,校医院内部,学姐，我觉得我还没做好肩负巨大责任的准备。,,,,
83,14,安澜,校医院内部,但是……,,,,
83,15,安澜,校医院内部,如果在她面前的是未知的深渊。,,,,
83,16,安澜,校医院内部,那我会让她在坠落的途中不那么孤独。,,,,
回到现实,,,,,,,,
84,1,宁芷,校医院病房103,你的指令很特殊。,,,,
84,2,（=pn）,校医院病房103,,……我想参与StackOverflow歼灭。,PC5,,
84,3,宁芷,校医院病房103,以你现在的实力还是太危险了……,,宁芷2,,
84,4,（=pn）,校医院病房103,,我要参与StackOverflow歼灭。,PC4,,
84,5,宁芷,校医院病房103,……如果你真的做好决定了，这周末来找我吧。,,宁芷1,,
84,6,宁芷,校医院病房103,我会帮你开发Include的潜力。,,宁芷1,,任务完成:0000802，接受任务:接收宁芷的训练。
