离开教学楼区域,
47,1,安澜,北桥楼外部,……怎么了？,,安澜2,
47,2,（=pn）,北桥楼外部,虽然有点冒昧。,,PC5,
47,3,（=pn）,北桥楼外部,"但我还是很好奇,你的指令是什么?",,PC5,
47,4,（=pn）,北桥楼外部,如果不愿意说也没关系的。,,PC2,
47,5,安澜,北桥楼外部,是StackTrace（堆栈追踪）。,
47,6,安澜,北桥楼外部,我的指令可以标记失序体或者指令使用者并追踪。,
47,7,安澜,北桥楼外部,被标记者使用指令时标记会对其造成伤害。,
47,8,（=pn）,北桥楼外部,好特殊的指令。,
47,9,（=pn）,北桥楼外部,对付失序体也很有用呢。,
47,10,安澜,北桥楼外部,也没有……前辈的include要更厉害一点。,,安澜2,
47,11,（=pn）,北桥楼外部,,（好尴尬。）,PC2,
47,12,（=pn）,北桥楼外部,,对……对了，你的胸针……,PC8,
47,13,安澜,北桥楼外部,唉？这个吗……,,安澜4,
47,14,（=pn）,北桥楼外部,,看起来很独特。,
47,15,安澜,北桥楼外部,忘记了吗……,,安澜2,
47,16,（=pn）,北桥楼外部,,啊？,PC5,
47,17,安澜,北桥楼外部,……没事，是我记错了。,
47,18,（=pn）,北桥楼外部,（我是不是说错什么话了，安澜看起来有些失落？）,,PC5,
