安澜自动跟随，来到寝室楼外区域,,,,,,,
38,1,安澜,寝室楼外,谢谢。,,,
38,2,（=pn）,寝室楼外,,（原来她会说话？）,PC5,
38,3,纪远行,寝室楼外,（=pn），你去哪了？,,,
38,4,（=pn）,寝室楼外,,图书馆。|食堂。,PC8,"后接39_1|39_2|39_3
如果是10：30-13：30，17：00-20：00，进入38_2，其他进入38_3"
1,1,纪远行,寝室楼外,这么卷？,,纪远行2,
2,1,纪远行,寝室楼外,早知道让你帮我带饭了。,,,
3,1,纪远行,寝室楼外,这个点去食堂？,,纪远行2,
39,2,（=pn）,寝室楼外,,呃。,PC2,
40,1,纪远行,寝室楼外,刚刚那个是我们班的安澜同学吧。,,,
40,2,（=pn）,寝室楼外,,说起来，我怎么对她没什么印象。,PC5,
40,3,纪远行,寝室楼外,她的性格比较内向，可能有点怕生。,,,
40,4,（=pn）,寝室楼外,,怪不得。,,
40,5,（=pn）,寝室楼外,,（你又是怎么知道的？）,PC5,任务完成:0000502，解锁安澜角色面板
第四周 周一上午高等数学（逃课无法触发）区域。9月26日,,,,,,,
41,1,同学1,教室,你有没有发现，校内有些教室会贴上禁止入内的标识。,,,
41,2,同学2,教室,听说那里半夜会出现奇怪的声音……,,,
41,3,同学2,教室,据说是和失序有关。,,,
41,4,同学1,教室,失序？真的有那种东西吗？,,,
41,5,同学2,教室,宁可信其有，不可信其无……,,,
41,6,（=pn）,教室,什么校园怪谈……咦，那是安澜？,,PC5,
41,,等待安澜进入教室指定位置,,,,,
41,7,（=pn）,教室,（打个招呼吧）,,,
41,8,（=pn）,教室,,Hi。|今天天气真好。,,不管选什么都是好感度+5
41,9,安澜,教室,（点点头）,,安澜2,
41,10,（=pn）,教室,（她还真是怕生，连座位都在后排不起眼的角落。）,,PC5,
41,11,（=pn）,教室,(不知道她有没有加入协会...),,PC5,
第四周 周五傍晚9月30日,,,,,,,
42,,,,手机消息提示,,,
42,1,手机屏幕(NQChat)寰枢AI,手机屏幕,隐秘于角落的失序体在嘶吼咆哮。,,,
42,2,手机屏幕(NQChat)寰枢AI,手机屏幕,藏匿于阴影的失序溢出蠢蠢欲动。,,,
42,3,手机屏幕(NQChat)寰枢AI,手机屏幕,学生在悲鸣，校园在分崩离析！,,,
42,4,（=pn）,手机屏幕,,？,,
42,5,（=pn）,手机屏幕,,说人话,,
42,6,手机屏幕(NQChat)寰枢AI,手机屏幕,新的委托已发布，请您在本周末前往北桥楼清理失序溢出。,,,
42,7,手机屏幕(NQChat)寰枢AI,手机屏幕,教学区将于本周末对普通学生封锁，以确保安全。,,,
42,8,（=pn）,手机屏幕,,我的国庆假期……算了111,,
42,9,手机屏幕(NQChat)寰枢AI,手机屏幕,您不喜欢我的新语言包吗？能否给出修改意见？,,,
42,10,（=pn）,手机屏幕,,111,,接受任务
