剧情节数,对话序号,角色,地点,对话文本,选项,表情拆分,,,first,,任务,,奖励

,第三周周六或周日前往教学区来到指定区域。,,,,,,,,,9月24-25日
31,1,区域触发对话,寰枢AI,北桥楼外侧,到达指定区域，检测到目标失序化个体。,,18,,,
31,2,自动触发对话,（=pn）,北桥楼外侧,,什么声音？,0,PC7,,
31,3,自动触发对话,寰枢AI,北桥楼外侧,您的智能AI助手寰枢（协会特供）。,,17,,,
31,4,自动触发对话,（=pn）,北桥楼外侧,,你还有语音功能?,0,PC5,,
31,5,自动触发对话,（=pn）,北桥楼外侧,,我带下耳机……,0,PC5,,
31,6,自动触发对话,寰枢AI,北桥楼外侧,检测到目标失序化个体位于正前方200米处，实时监测教学区包括您在内存在三人。,,38,,,
战斗结束后,,,,,,,,,,
32,1,自动触发对话,寰枢AI,北桥楼外侧,已通知协会及校医院即时收容失序化个体。,,19,,,
32,2,自动触发对话,寰枢AI,北桥楼外侧,检测到附近有一名学生，目睹战斗过程的可能性为84%。,,26,,,
32,3,自动触发对话,（=pn）,北桥楼外侧,,你怎么不提醒我……,0,PC5,,
32,4,自动触发对话,寰枢AI,北桥楼外侧,检测到您处于战斗状态，决策得出应优先解决失序化个体。,,26,,,
32,5,自动触发对话,寰枢AI,北桥楼外侧,人脸比对成功，目击者为xx级计算机学院计算机科学与技术专业学生安澜。,,34,,xx是被模糊的文字，整成框框,
,6,自动触发对话,安澜,北桥楼外侧,……,,2,,,
,7,自动触发对话,（=pn）,北桥楼外侧,,同学……你好？,0,PC7,,
,8,自动触发对话,安澜,北桥楼外侧,（轻轻点头）,,6,,,
,9,自动触发对话,（=pn）,北桥楼外侧,,不要害怕……,0,PC7,,
,10,自动触发对话,（=pn）,北桥楼外侧,,我是，我是好人。,0,PC3,,
,11,自动触发对话,安澜,北桥楼外侧,……,,2,安澜2,,
,12,自动触发对话,（=pn）,北桥楼外侧,,寰枢，救救我。,0,PC2,,
,13,自动触发对话,寰枢AI,北桥楼外侧,预测安澜同学对你的警戒度为70％。,,17,,,
,14,自动触发对话,安澜,北桥楼外侧,……,,,,,
,15,自动触发对话,寰枢AI,北桥楼外侧,请注意，失序化个体有复苏征兆。,,15,,,
,16,自动触发对话,倒地的失序化学生,北桥楼外侧,溢出……溢出……,,8,,,
,17,自动触发对话,（=pn）,北桥楼外侧,,小心！,0,PC9,,
,战斗结束,,,,,,,,,
33,1,自动触发对话,（=pn）,北桥楼外侧,,你没事吧？,0,PC7,,
,2,自动触发对话,安澜,北桥楼外侧,（如拨浪鼓般摇头）,,9,安澜2,,
,3,自动触发对话,（=pn）,北桥楼外侧,,……她不会吓傻了吧？,0,PC5,,
,4,自动触发对话,寰枢AI,北桥楼外侧,会长和校医即将到达。,,10,,,
,5,自动触发对话,宁芷,北桥楼外侧,（=pn）学妹，你没有受伤吧？,,15,宁芷1,,
,6,自动触发对话,（=pn）,北桥楼外侧,,没有。,0,,,
,7,自动触发对话,（=pn）,北桥楼外侧,,不过……,0,PC7,,
,8,自动触发对话,宁芷,北桥楼外侧,我果然没有看错你，失序化的学生就交给我们了。,,22,,,
,9,自动触发对话,宁芷,北桥楼外侧,你好啊，安澜同学，和我们一起吧，这里还是有些危险。,,25,,,
,10,自动触发对话,安澜,北桥楼外侧,（轻轻点头）,,6,,获得奖励￥100，声望+10,
,,,,,,,跳转场景:A Scene，,
场景跳转到校医院内部。,,,,,,,,,,
34,1,自动触发对话,校医,校医院内部,算上今天的，仅被发现的失序化学生已经有11名。,,23,,,
,2,自动触发对话,校医,校医院内部,往年一学年最多只会出现3名，校医院很久没这么人满为患过了。,,29,,,
,3,自动触发对话,（=pn）,校医院内部,,这些学生……还有救吗？,0,PC7,,
,4,互动触发对话,宁芷,校医院内部,失序值没有MAX前都还有救，只是逆转失序化十分困难。,,26,宁芷1,,
,5,自动触发对话,宁芷,校医院内部,第一名被送来治疗的学生现在也只是恢复了极小一部分意识。,,27,宁芷1,,
