0,1,弗洛,,怎么啦？,赠送礼物|关于生日|关于喜好|关于过去|关于未来|空闲时都在干什么|关于林风|关于远行|关于(=pn)|关于学业导师,,,1|2|3|4|5|6|7|8|9|10,,DefaultInterActiveFL,,|好感度.弗洛.>=.20|好感度.弗洛.>=.30|好感度.弗洛.>=.35|好感度.弗洛.>=.40|好感度.弗洛.>=.45|好感度.弗洛.>=.50|好感度.弗洛.>=.50|好感度.弗洛.>=.50|好感度.弗洛.>=.50,
1,1,弗洛,,嗯。我不太喜欢这个。,,弗洛6,,,,,,,弗洛.好感+0,
1,2,弗洛,,送我的？谢谢你！,,弗洛8,,,,,,,弗洛.好感+1,
1,3,弗洛,,我要这个！送我！……款？真的送我？,,弗洛8,,,,,,,弗洛.好感+2,
2,1,弗洛,,生日？,
2,2,弗洛,,我过的是农历生日，闰二月二十七。,
2,3,弗洛,,……对，三年两头闰，十九年七闰，计算很麻烦。,,弗洛6,,,,,,,弗洛.好感度+2,
2,3,弗洛,,所以我一般按照正二月二十七过。,,,,,,,,,弗洛.好感度+2,
2,,,,,,,自动移动:10;27,,
3,1,弗洛,,ACGN，我还以为我在寝室里表现得很明显。,
3,2,弗洛,,ACGN是什么？嗯……二次元会更好理解吗？,
3,3,弗洛,,其实林风也差不多，只不过她有点现充。,,弗洛5,
3,4,弗洛,,现充是什么意思？,
3,5,弗洛,,……就是你这样的。,,弗洛5,
3,6,弗洛,,现实生活充实的人。,,弗洛8,
4,1,弗洛,,高中时候的事吗？,
4,2,弗洛,,好像已经忘得差不多了……,,弗洛5,
4,3,弗洛,,……记住的好像只有当时的游戏和番剧。,,弗洛2,
5,1,弗洛,,考研吧。,
5,2,弗洛,,……我不想进入社会。,,弗洛6,
5,3,弗洛,,总之先考研，本校的就行。,
6,1,弗洛,,打游戏看番……偶尔也会去琴房练琴。,,弗洛5
6,2,弗洛,,要约我出去的话直接说就可以，我有时间。	
6,3,弗洛,,或者说，我大多数时间都有空。,,弗洛8
7,1,弗洛,,……不喜欢雪碧的没品现充。,,弗洛6,
7,2,弗洛,,唱歌还跑调。,,弗洛6,
8,1,弗洛,,她用闲暇时间把后山爬了二十遍？,,弗洛7,
8,2,弗洛,,怎么做到的？,,弗洛7,
9,1,弗洛,,很阳光，和你待在一起连心情都变好了。,,弗洛8,
10,1,弗洛,,他人挺好的，说不定我会考他的研究生？,,弗洛5,
10,2,弗洛,,不过他有点太上进了……,,弗洛6,
