0,1,林风,,怎么啦？,赠送礼物|关于生日|关于喜好|关于过去||关于未来|空闲时都在干什么|关于弗洛|关于纪远行|关于(=pn)|关于学业导师,,,1|2|3|4|5|6|7|8|9|10,,,,|好感度.林风.>=.20|好感度.林风.>=.30|好感度.林风.>=.35|好感度.林风.>=.40|好感度.林风.>=.45|好感度.林风.>=.50|好感度.林风.>=.50|好感度.林风.>=.50|好感度.林风.>=.50|好感度.林风.>=.50,
1,1,林风,,唔，我不太喜欢这个。,,林风3,,,,,,,好感+0,
1,2,林风,,送我的？谢谢你！,,林风4,,,,,,,好感+1,
1,3,林风,,我要这个！送我！……欸？真的送我？,,,,,,,,,好感+2,
2,1,林风,,生日啊？,
2,2,林风,,是12月8号!,,林风4,
2,3,林风,,你会陪我过生日的对不对？,,林风8,,,,,,,好感度+2,
3,1,林风,,打打游戏看看剧，还喜欢出去玩……诶呀我什么都喜欢啦。,
3,2,林风,,你问我天天摆弄的那些小铁片和纸片是什么？,,林风2,
3,3,林风,,呃……是谷子！周边！,,林风6,
3,4,林风,,我也没有买多少……,,林风3,
3,5,林风,,真的！,,林风6,
4,1,林风,,高中的事？,
4,2,林风,,我是不怎么记得了，但是我的朋友们经常会跟我讲。,
4,3,林风,,当然是高中时候的朋友啊！,,林风2,
4,4,林风,,不过你要是想听，我也可以偷偷跟你讲！,,林风4,
5,1,林风,,大概是考研？,
5,2,林风,,但是一想到要考11408就想跑了。,,	林风9
5,3,林风,,实在不行就直接去工作嘛。
5,4,林风,,送外卖也不是不行！,,林风4
6,1,林风,,打游戏看剧？其实我挺想追追线下、听听演唱会的。,
6,2,林风,,唉，NQU怎么这么坏。,,林风6,
6,3,林风,,只在学校里呆着简直要憋死我了。,,林风9,
7,1,林风,,喜欢雪碧胜过可乐的没品死宅。,,林风6,
7,2,林风,,还听不懂我唱的歌。,,林风6,
8,1,林风,,超级自律，超级优秀，并且会把作业给我抄！,,林风4,
8,2,林风,,……不过她哪儿来这么多精力啊。,,林风9,
9,1,林风,,你人超好的！长得也好看唱歌也好听！,,林风4,
10,1,林风,,他其实对我们还挺好的，但是我还是有点怕他……,,林风3,
10,2,林风,,可能因为他太push了吧。,,林风9,
