剧情节数,对话序号,角色,地点,对话文本,选项,表情拆分,,,first,,任务,,奖励
1,1,林风,寝室,(=pn)，起床啦！,,林风4,,,,,接受任务:0000101,9月4日
1,2,弗洛,寝室,（盯）,
1,3,纪远行,寝室,再不起床开学典礼要迟到了。,
1,4,(=pn),寝室,,起床！||再睡五分钟……,,|PC10,2|3,
2,5,自动触发对话,(=pn),寝室,（先去洗漱一下吧),,9,,final,
3,6,(=pn),寝室,五分钟过去了……,起床！||再睡五分钟……,,,2|3,final,,,,(触发三次)获得成就“回笼觉睡睡睡到厌倦,

Semester_02
选择起床并洗漱后和室友一起来到操场，然后时间直接跳到9：00,
2_1,1,男主持人,操场,尊敬的领导、老师，亲爱的同学们……,
2_1,2,女主主持人,操场,金秋时节，硕果飘香！我们怀着激动的心情……,
2_1,3,(=pn),操场,,好无聊。,PC5,,
2_1,4,(=pn),操场,(弗洛望着远处的云彩神游天外。),,PC5,
2_1,5,(=pn),操场,（林风快睡着了。）,,PC5,
2_1,6,(=pn),操场,（纪远行听的好认真？！）,,PC2,
2_1,7,男主持人/女主持人,操场,"下面我宣布，开学典礼,正式开始!",
2_1,8,(=pn),操场,,(鼓掌),
2_1,9,,女主持人,操场,,有请校长上台为新生致辞！,
2_1,10,男主持人/女主持人,操场,……,
2_1,11,(=pn),操场,,好安静啊。|我卡了吗？,PC5,,
2_1,12,男主持人/女主持人,操场,同学们，请稍等。,
2_1,13,旁白,操场,两名主持人匆忙下台。,
2_1,14,弗洛,操场,发生什么事了？,,7,
2_1,15,林风,操场,校长失踪了？,,6,
2_1,16,纪远行,操场,应该是有什么突发情况吧。,
2_1,17,黑幕文字,,半小时后,
2_1,18,林风,操场,我们已经等到快中午了。,,林风3,
2_1,19,弗洛,操场,我饿了……,弗洛6
2_1,20,宁芷,操场,同学们，流程交接出现了一些问题，请耐心等待。,,宁芷1,
2_1,21,(=pn),操场,（学姐神色紧张的走了。）,,PC5,
2_1,22,(=pn),操场,（看起来很严肃的样子。）,,PC5,
2_1,23,林风,操场,难道说……,,林风3,
2_1,24,林风,操场,开学第一天，就发生了失序化事件!,,林风4,
2_1,25,弗洛,操场,……,,弗洛6,
2_1,26,纪远行,操场,不会这么巧吧？,,纪远行2,
2_1,27,(=pn),操场,,（这个人好可怕……）,PC5,
2_1,28,林风,操场,开玩笑的，不过不知道又要等多长时间了。,,19,
2_1,29,弗洛,操场,食堂去晚了又要排长队。,,11,弗洛6,,
2_1,30,(=pn),操场,（开学典礼一时半会儿不会继续了。）,,PC5,
2_1,31,(=pn),操场,（少一个人谁也不会发现的。）,,PC5,
2_1,32,(=pn),操场,,那我先跑路去食堂！,PC6,
2_1,33,林风,操场,带份饭谢谢。,
2_1,34,弗洛,操场,加一。,
2_1,35,纪远行,操场,十分感谢。,,,,,,,"接受任务:0000102""后接3",

Semester_03
选择再睡五分钟,,,,,,,,,,
2_2,1黑幕文字,,三声消息提示音驱散了你的倦意，你摸索着打开了手机。,,25,,任务已挂起,9月4日11：00
2_2,2,手机屏幕（室友群）林风,手机屏幕,饿饿 饭饭 带带,,8,,,
2_2,3,手机屏幕（室友群）弗洛,手机屏幕,饿饿 饭饭 带带,,8,,,
2_2,4,手机屏幕（室友群）纪远行,手机屏幕,饿饿 饭饭 带带,,8,,,
2_2,5,(=pn),寝室,十一点了？！,,6,PC3,,
2_2,6,(=pn),寝室,开学典礼还没结束？？？,,11,PC3,,
2_2,7,(=pn),寝室,（还是先去食堂吧）,,9,,"任务变更为“前往食堂。""
后接3",

参加开学典礼并跑路/跳过开学典礼后来到食堂附近,,,,,,,,,,
3,1,宁芷,,开学典礼已经暂停了，我马上就来。,,16,宁芷1,,
3,2,(=pn),,（学姐看起来很严肃。),,11,PC7,,
3,3,(=pn),,（她这是要去哪……）,,10,PC7,,
3,4,(=pn),,（好好奇，要不跟上去看看？）,跟上去。,14,PC5,后接3_1,

3_1,5,(=pn),,（学姐似乎也注意到了这边，怎么感觉她刻意放慢了脚步等待？）,,29,,,
偷偷跟随学姐来到了南桥楼一层一间办公室门外（这里是玩家不能操纵，是像素小人自动跟随）,
4,1,自动触发对话,宁芷,,近一周发生的次数已经超过前三年的总和。,,19,"宁芷1
（剧情节数4左侧npc只放一个头像框）",,
,2,自动触发对话,宁芷,,我们剩余的成员派去调查也都受伤了。,,17,宁芷1,,
,3,自动触发对话,(=pn),,,（是学姐的声音……）,0,PC7,,
,4,自动触发对话,机械音,,数据分析此次大规模失序化事件有极大概率涉及失序体。,,25,,,
,5,自动触发对话,另一个女声（学生会长安星瑶）,,新学年新生刚到，尽量不要引起恐慌，激起他们的好奇心是很危险的事。,,32,,,
,6,自动触发对话,另一个女声,,这学期我会再次进入那里……这些事就拜托你们了。,,23,,,
,7,自动触发对话,老者的声音,,如果可以，我希望他们大学四年都不会接触到这些事。,,24,,,
,8,自动触发对话,(=pn),,,（失序化事件？）,0,PC5,,
,9,自动触发对话,宁芷,,但我们都知道，如果真的是失序体出现意味着什么。,,23,宁芷1,,
,10,自动触发对话,老者的声音,,寰枢已经锁定了大概区域，进一步调查缩小，尽可能的避免最坏情况。,,31,,,
,11,自动触发对话,另一个女声,,我们都不希望曾经的事重蹈覆辙，我现在所做的一切也正是为此……,,30,,,
,12,自动触发对话,,,（下课铃声响起）,,8,,,时间强行11：40
,13,自动触发对话,(=pn),,,（坏了，忘记要带饭了。）,0,PC5,,
,14,自动触发对话,(=pn),,,（趁着还没被发现，快跑。）,0,,,
玩家离开南桥楼后，黑幕文字,,,,,,,,,,
5,1,自动触发对话,黑屏文字,,我们也需要一些新鲜血液，尽管这些事牵扯到的学生越少越好。,,28,,,
,2,自动触发对话,黑屏文字,,现在已经是迫不得已的局面，仅凭我们这些人手很难保证失序不进一步扩散。,,34,,,
,3,自动触发对话,黑屏文字,,事已至此……,,6,,,
,4,自动触发对话,黑屏文字,,只能这样了。,,6,,,
,5,自动触发对话,黑屏文字,,这届新生登记的指令中有几个很特殊。,,17,,,
,6,自动触发对话,黑屏文字,,比如，这位（=pn）学妹……,,14,,,
回到食堂,,,,,,,,,,
6,1,区域触发对话,（=pn）,食堂,（开学典礼好像还没结束……）,,14,PC5,,
,2,区域触发对话,(=pn),食堂,"（还来得及,去排队吧。）",,12,,,
回到寝室,,,,,,,,,,
7,1,区域触发对话,林风,寝室,（=pn），你终于回来了。,,13,林风9,,
,2,自动触发对话,(=pn),寝室,,开学典礼有通知什么吗？,0,,,
,3,自动触发对话,纪远行,寝室,我们一直等到快十二点，才来了一个自称是代理校长的人。,,26,,,
,4,自动触发对话,林风,寝室,是个，看起来很严肃的老头子(嚼嚼嚼),,18,,,
,5,自动触发对话,(=pn),寝室,,代理校长？,0,PC5,,
,6,自动触发对话,纪远行,寝室,听说校长已经很长时间没有露面了，现在由三名代理人负责学校内的事物。,,33,,,
,7,自动触发对话,纪远行,寝室,那位老先生就是其中之一，好像也是我们的学业导师。,,24,,,
,8,自动触发对话,林风,寝室,他站在讲台上喋喋不休的讲了半个多小时。,,19,林风9,,
,9,自动触发对话,林风,寝室,如果不是学姐提醒他，全场的人可能都要饿晕过去了。,,24,林风6,,
,10,自动触发对话,弗洛,寝室,（默默点头）,,6,,,
,11,自动触发对话,(=pn),寝室,（偷听的事还是先不要告诉别人了）,,16,PC5,,
,12,自动触发对话,(=pn),寝室,（去问问其他室友对于失序的看法吧）,,17,,三个室友都出现交互气泡,
,,,,,,,,,,
